Data,Ano,Mes,NumeroMes,MesAno,Trimestre,Semana,Dia,DiaSemana,NomeDiaSemana,DiaUtil,FimSemana,InicioMes,FimMes
2025-10-16,2025,Outubro,10,2025-10,Q4,42,16,3,Quinta,True,False,False,False
2025-10-17,2025,Outubro,10,2025-10,Q4,42,17,4,Sexta,True,False,False,False
2025-10-18,2025,Outubro,10,2025-10,Q4,42,18,5,Sábado,False,True,False,False
2025-10-19,2025,Outubro,10,2025-10,Q4,42,19,6,Domingo,False,True,False,False
2025-10-20,2025,Outubro,10,2025-10,Q4,43,20,0,Segunda,True,False,False,False
2025-10-21,2025,Outubro,10,2025-10,Q4,43,21,1,Terça,True,False,False,False
2025-10-22,2025,Outubro,10,2025-10,Q4,43,22,2,Quarta,True,False,False,False
2025-10-23,2025,Outubro,10,2025-10,Q4,43,23,3,Quinta,True,False,False,False
2025-10-24,2025,Outubro,10,2025-10,Q4,43,24,4,Sexta,True,False,False,False
2025-10-25,2025,Outubro,10,2025-10,Q4,43,25,5,Sábado,False,True,False,False
2025-10-26,2025,Outubro,10,2025-10,Q4,43,26,6,Domingo,False,True,False,False
2025-10-27,2025,Outubro,10,2025-10,Q4,44,27,0,Segunda,True,False,False,False
2025-10-28,2025,Outubro,10,2025-10,Q4,44,28,1,Terça,True,False,False,False
2025-10-29,2025,Outubro,10,2025-10,Q4,44,29,2,Quarta,True,False,False,False
2025-10-30,2025,Outubro,10,2025-10,Q4,44,30,3,Quinta,True,False,False,False
2025-10-31,2025,Outubro,10,2025-10,Q4,44,31,4,Sexta,True,False,False,True
2025-11-01,2025,Novembro,11,2025-11,Q4,44,1,5,Sábado,False,True,True,False
2025-11-02,2025,Novembro,11,2025-11,Q4,44,2,6,Domingo,False,True,False,False
2025-11-03,2025,Novembro,11,2025-11,Q4,45,3,0,Segunda,True,False,False,False
